zW7QHcfn,2021.01.16,16:36:54,900+10,Normal,0-1,jacobaharris,1500,-204,RaulErnesto,1551,+3
28nXqNHo,2021.01.17,18:37:52,600+5,Normal,1/2-1/2,Zippo_Fire,1319,-1,jacobaharris,1296,+9
mpqRh5Hu,2021.01.19,18:11:53,900+10,Normal,0-1,jacobaharris,1305,-92,Mespilus,1347,+4
ecxsajKu,2021.01.20,05:14:41,600+5,Normal,0-1,jacobaharris,1213,-65,KaranBains,1285,+5
LgMK8bEn,2021.01.20,05:49:32,600+5,Normal,0-1,IKERDURANGEN,1222,-66,jacobaharris,1148,+79
zuskRxvk,2021.01.20,05:53:40,600+5,Normal,1/2-1/2,GONCHAROVVASY,1172,+1,jacobaharris,1227,-9
Wc69TYHT,2021.01.20,06:25:35,600+5,Normal,1-0,jacobaharris,1218,+47,SirSecksyTime,1178,-8
NZoewLc7,2021.01.22,03:44:13,600+5,Normal,1-0,apshma,1340,+131,jacobaharris,1265,-29
zpKD5U7J,2021.01.22,04:05:24,600+5,Normal,1-0,sebsilb123,1241,+5,jacobaharris,1236,-40
nFoMJJQS,2021.01.22,04:35:25,600+5,Normal,0-1,jacobaharris,1196,-45,Mithrandir0109,1101,+42
m1Y0FTri,2021.01.22,05:00:38,600+5,Normal,1-0,jacobaharris,1151,+39,Chris_Box830,1185,-22
lr49abhY,2021.01.22,05:28:28,600+5,Normal,1/2-1/2,MeatyBuns,1241,-1,jacobaharris,1190,+5
XrfxYyFH,2021.01.22,05:55:04,600+5,Normal,1-0,Gufando,1235,+6,jacobaharris,1195,-26
GnKesJyZ,2021.01.28,17:32:52,600+5,Normal,0-1,jacobaharris,1169,-25,TidyTadpole,1197,+6
hWprCrhI,2021.01.30,18:34:32,900+10,Normal,0-1,jacobaharris,1144,-24,OneThee,1172,+5
DVQwi1L7,2021.01.30,18:48:28,900+10,Normal,0-1,nibla33,1218,-105,jacobaharris,1120,+29
ylwMNjIa,2021.01.30,19:36:04,900+10,Normal,0-1,Arshmeds10,1156,-23,jacobaharris,1149,+24
9Bs7fApn,2021.01.30,19:54:22,900+10,Normal,1-0,jacobaharris,1173,+26,Birchman42,1214,-21
EsxTYnTg,2021.02.07,18:30:13,600+5,Normal,1-0,jacobaharris,1199,+25,mohammadrezataheri01,1227,-6
toX7AOUV,2021.03.03,04:16:04,600+5,Normal,0-1,RunningMan17,1278,-7,jacobaharris,1224,+29
nqLyJYkc,2021.03.03,04:34:51,600+5,Normal,1-0,jacobaharris,1253,+18,indigoviolet,1179,-11
iQx0b6oR,2021.03.03,04:46:49,600+5,Normal,0-1,FERREL176,1322,-7,jacobaharris,1271,+26
ULNv1JKf,2021.03.03,05:08:47,600+5,Time forfeit,1-0,jacobaharris,1297,+25,logical_entrance,1360,-7
1Cybeo1S,2021.03.03,17:24:26,600+5,Normal,0-1,jacobaharris,1322,-15,jens2020,1403,+4
0QUXNLGL,2021.03.03,17:47:13,600+5,Normal,1-0,cianfits,1366,+5,jacobaharris,1307,-14
jjBh4qGz,2021.03.03,18:09:24,600+5,Normal,0-1,jacobaharris,1293,-19,Yavuz37,1255,+6
rSjpXOGF,2021.03.06,03:50:42,600+5,Normal,0-1,AmanloveMia,1297,-40,jacobaharris,1274,+18
O7TjzDCF,2021.03.25,01:38:35,600+5,Normal,1/2-1/2,zatoichi_1x,1301,+0,jacobaharris,1292,+0
Z3YOOzKh,2021.03.25,02:26:40,600+5,Normal,1-0,jacobaharris,1292,+17,rajpetkar,1255,-6
GnkhhDo1,2021.03.25,02:40:44,600+5,Normal,1-0,Jaswanth_2008,1226,+8,jacobaharris,1309,-20
dnPOvA3j,2021.03.25,03:04:20,600+5,Normal,0-1,jacobaharris,1289,-18,navigota,1262,+7
BVMCktDK,2021.03.29,22:39:53,600+5,Normal,0-1,dmslov,1360,-22,jacobaharris,1271,+21
QohLiScw,2021.03.29,23:17:53,600+5,Normal,0-1,jacobaharris,1292,-15,siemashko,1292,+6
NKXFaDuf,2021.03.29,23:39:14,600+5,Normal,1-0,jacobaharris,1277,+13,sepulvedark,1206,-4
9Rw6b5kV,2021.03.30,00:03:22,600+5,Normal,0-1,AwesomeTrumpet,1336,-6,jacobaharris,1290,+17
FiZx2h98,2021.03.30,00:46:06,600+5,Normal,0-1,ghanemje,1244,-5,jacobaharris,1307,+12
wLyptcjH,2021.03.30,01:20:51,600+5,Normal,1-0,jacobaharris,1319,+16,o_gabirejo,1368,-6
bnf2XuyL,2021.03.30,01:42:19,600+5,Normal,0-1,proenr,1500,-387,jacobaharris,1335,+9
NZFAFtKC,2021.03.30,02:09:54,600+5,Normal,0-1,jacobaharris,1344,-12,nbelyaev997,1352,+6
Ov7FJFc4,2021.03.30,02:18:06,600+5,Normal,0-1,nbelyaev997,1358,-6,jacobaharris,1332,+14
